"ID";"P1";"P3";"P8";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P21";"P22";"P23";"P24";"P26";"P2";"P4";"P5";"P6";"P7";"P9";"P10";"P11";"P19";"P20"
197;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
198;Não;NS/NR;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Nordeste;Não;Não;Sem importância;Importante;Muito importante;Psicológica;Não;;;
199;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Estudante;Nordeste;Não;Sim;Importante;Importante;Indiferente;Sexual;Não;;;
200;As vezes;Na Justiça;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Estudante;Nordeste;As vezes;Em parte;Muito importante;Muito importante;Importante;Física;Não;;;
201;As vezes;Na solicitação de serviços;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Importante;Psicológica;Não;;;
202;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
203;Sim;No trabalho;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;Sim;Não;Importante;Muito importante;Importante;Sexual;Não;;;
204;As vezes;Na Justiça;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
205;Não;No trabalho;Na família;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
206;Não;Na Justiça;Na família;Sim;Física;4 vezes ou mais;até 19 anos;Namorado;Procurou ajuda da família;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Sim;Sexual;;
207;Não;NS/NR;Na solicitação de serviços;Sim;Moral;4 vezes ou mais;30 a 39 anos;NS/NR;Procurou uma delegacia da mulher;Ótimo;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Não;Muito importante;Importante;Importante;Moral;Não;;Foi para sua casa;
208;As vezes;Na família;Na solicitação de serviços;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Marido;Procurou ajuda da família;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
209;Não;Na Justiça;Nas instituições públicas;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Não;;;
210;As vezes;No trabalho;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
211;Não;Na família;Na solicitação de serviços;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Companheiro;Procurou ajuda da família;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
212;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
213;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
214;Não;No trabalho;Na família;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Em parte;Muito importante;Importante;Muito importante;Física;Não;;;
215;Não;Na Justiça;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Sim;Sim;Importante;Importante;Importante;Sexual;Sim;Sexual;;
216;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
217;Não;Na Justiça;Na família;Não;;;;;;;40 a 49 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Sim;Importante;Importante;Importante;Moral;Sim;Física;;
218;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino médio;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
219;Não;Nas instituições públicas;Na Justiça;Não;;;;;;;50 a 59 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Não;Muito importante;Importante;Pouco importante;Moral;Não;;;
220;As vezes;Na Justiça;Na família;Sim;Moral;1 vez;30 a 39 anos;Marido;Procurou ajuda da família;;50 a 59 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
221;As vezes;Na família;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
222;Sim;No trabalho;No trabalho;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Sim;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
223;Não;No trabalho;Na família;Não;;;;;;;50 a 59 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Não;Importante;Muito importante;Muito importante;Sexual;Sim;Física;;
224;Não;Na família;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
225;Sim;Na família;Na solicitação de serviços;Não;;;;;;;60 anos ou mais;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
226;Não;Na família;Na Justiça;Não;;;;;;;60 anos ou mais;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
227;As vezes;Na família;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Importante;Física;Sim;Moral;;
228;Não;Na família;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
229;Não;Na Justiça;Na família;Sim;Física;1 vez;20 a 29 anos;Marido;NS/NR;;60 anos ou mais;Não alfabetizada;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Importante;Importante;Moral;Não;;;
230;Não;Na família;Na família;Não;;;;;;;16 a 19 anos;Ensino médio;NS/NR;Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
231;Não;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
232;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
233;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Não;Importante;Muito importante;Importante;Psicológica;Sim;Psicológica;;
234;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
235;Não;Nas instituições públicas;No trabalho;Não;;;;;;;20 a 29 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Não;;;
236;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Importante;Moral;Não;;;
237;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
238;Não;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Centro-Oeste;Não;Não;Muito importante;Muito importante;Sem Importância;Sexual;Não;;;
239;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino superior;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Importante;Muito importante;Física;Não;;;
240;Não;No trabalho;NS/NR;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Importante;Sexual;Não;;;
241;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
242;As vezes;No trabalho;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino médio;NS/NR;Dona de casa;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
243;As vezes;Na família;NS/NR;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Sim;Sim;Muito importante;Importante;Muito importante;Física;Não;;;
244;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Importante;Muito importante;Muito importante;Moral;Não;;;
245;Não;Na família;No trabalho;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou uma delegacia da mulher;Péssimo;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Importante;Muito importante;Muito importante;Sexual;Não;;Foi para casa de amigos;
246;Não;Na família;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Não;Sem importância;Muito importante;Muito importante;Sexual;Não;;;
247;Não;Na Justiça;Na família;Sim;Moral;4 vezes ou mais;20 a 29 anos;Marido;Silenciou;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Em parte;Importante;Muito importante;Sem Importância;Sexual;Não;;;
248;Não;Na solicitação de serviços;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Importante;Importante;Importante;Física;Não;;;
249;As vezes;No trabalho;Na família;Não;;;;;;;40 a 49 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
250;As vezes;No trabalho;Na família;Não;;;;;;;50 a 59 anos;Ensino fundamental;NS/NR;Dona de casa;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Muito importante;NS/NR;Não;;;
251;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
252;Não;No trabalho;Na Justiça;Não;;;;;;;16 a 19 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Nordeste;As vezes;Em parte;Importante;Muito importante;Importante;Física;Não;;;
253;As vezes;Na Justiça;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Estudante;Nordeste;Não;Sim;Importante;Muito importante;Importante;Sexual;Sim;Física;;
254;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
255;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Não;Importante;Importante;Importante;Moral;Sim;Física;;
256;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
257;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Nordeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
258;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Importante;Muito importante;Psicológica;Não;;;
259;Não;No trabalho;Na família;Não;;;;;;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Nordeste;Não;Em parte;Importante;Muito importante;Importante;Moral;Não;;;
260;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
261;Sim;No trabalho;Na família;Não;;;;;;;50 a 59 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Sim;NS/NR;Muito importante;Muito importante;Muito importante;Moral;Sim;NS/NR;;
262;Não;Na Justiça;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
263;Não;Nas instituições públicas;Na família;Sim;Física;3 vezes;40 a 49 anos;Marido;Procurou uma delegacia comum;Péssimo;60 anos ou mais;Ensino médio;Mais de 21 salários mínimos (R$ 5.460);Dona de casa;Nordeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;Foi para sua casa;
264;Sim;Na família;No trabalho;Não;;;;;;;16 a 19 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Norte;Não;Não;Muito importante;Muito importante;Importante;Moral;Sim;Psicológica;;
265;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Não;Importante;Muito importante;Importante;Física;Sim;Física;;
266;As vezes;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Norte;Não;Em parte;Importante;Importante;Importante;Psicológica;Sim;Física;;
267;Não;Nas instituições públicas;Na família;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou uma delegacia da mulher;Bom;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para casa de familiares;
268;Não;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;60 anos ou mais;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Norte;As vezes;Em parte;Muito importante;Importante;Pouco importante;Psicológica;Não;;;
269;Não;No trabalho;Nas instituições públicas;Não;;;;;;;16 a 19 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Importante;Importante;Física;Não;;;
270;As vezes;Na solicitação de serviços;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Indiferente;Sexual;Não;;;
271;As vezes;Na Justiça;Na família;Sim;Sexual;1 vez;até 19 anos;Pai;Silenciou;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Nordeste;Não;Em parte;Importante;Importante;Importante;Sexual;Sim;Física;;
272;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;Até 2 salários míninos (R$ 520);Estudante;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
273;Sim;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
274;Não;Na Justiça;Na família;Sim;Física;3 vezes;30 a 39 anos;Marido;Silenciou;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Psicológica;;
275;Não;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;As vezes;Em parte;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
276;Não;Na Justiça;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Nordeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
277;Não;Na Justiça;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;NS/NR;Dona de casa;Nordeste;Não;Em parte;Muito importante;Muito importante;Importante;Física;Não;;;
278;As vezes;Na Justiça;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
279;Não;Na Justiça;Na família;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Não;Muito importante;NS/NR;Muito importante;Psicológica;Não;;;
280;As vezes;Na Justiça;Na família;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Companheiro;Silenciou;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Nordeste;NS/NR;NS/NR;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Psicológica;;
281;Não;Na família;No trabalho;Sim;Física;4 vezes ou mais;40 a 49 anos;Marido;Procurou ajuda da família;;40 a 49 anos;Não alfabetizada;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Nordeste;Não;Não;Muito importante;Muito importante;Importante;Física;Sim;Física;;
282;Não;No trabalho;Na família;Sim;Psicológica;4 vezes ou mais;40 a 49 anos;NS/NR;Procurou uma delegacia comum;Bom;50 a 59 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;Foi para sua casa;
283;Não;NS/NR;Na família;Sim;Sexual;3 vezes;até 19 anos;Marido;NS/NR;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
284;Não;Na família;No trabalho;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
285;Não;Na família;No trabalho;Não;;;;;;;16 a 19 anos;Ensino médio;NS/NR;Estudante;Norte;Não;Sim;Importante;Importante;Importante;Sexual;Não;;;
286;As vezes;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Norte;Não;Sim;Muito importante;Importante;Importante;Física;Sim;Física;;
287;Não;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Estudante;Norte;As vezes;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Psicológica;;
288;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Sim;Sim;Importante;Muito importante;Importante;Sexual;Sim;Física;;
289;As vezes;Nas instituições públicas;No trabalho;Sim;Física;1 vez;20 a 29 anos;Namorado;Silenciou;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Sim;Muito importante;Importante;Importante;Física;Sim;Física;;
290;As vezes;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Sim;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
291;As vezes;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;As vezes;Em parte;Muito importante;Muito importante;Importante;Moral;Sim;Física;;
292;As vezes;Na família;Na família;Sim;Física;4 vezes ou mais;20 a 29 anos;Companheiro;Procurou uma delegacia da mulher;Ótimo;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Sim;Muito importante;Muito importante;Importante;Moral;Sim;Física;Foi para sua casa;
293;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino fundamental;NS/NR;Estudante;Norte;Sim;Em parte;Importante;Importante;Importante;Sexual;Não;;;
294;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Norte;Não;Sim;Importante;Importante;Muito importante;Física;Não;;;
295;Não;NS/NR;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
296;As vezes;Na família;Nas instituições públicas;Sim;Sexual;1 vez;até 19 anos;NS/NR;Procurou ajuda da família;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Norte;Sim;Não;Muito importante;Muito importante;Importante;Física;Não;;;
297;Não;Na família;No trabalho;Sim;Física;1 vez;30 a 39 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Sim;Muito importante;Muito importante;Importante;Física;Sim;Física;;
298;Não;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
299;Não;Nas instituições públicas;Na solicitação de serviços;Sim;Física;3 vezes;até 19 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
300;Não;Na família;No trabalho;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou uma delegacia da mulher;Bom;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;Foi para sua casa;
301;As vezes;No trabalho;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
302;Não;Na família;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Não;Muito importante;Importante;Muito importante;Moral;Sim;Física;;
303;Não;Na família;No trabalho;Sim;Física;4 vezes ou mais;até 19 anos;Namorado;Procurou ajuda da família;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Não;Importante;Indiferente;Sem Importância;Física;Sim;Física;;
304;Não;Na família;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Não;Importante;Importante;Importante;Sexual;Não;;;
305;As vezes;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Norte;As vezes;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
306;Não;NS/NR;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
307;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Não;Muito importante;Muito importante;Muito importante;Patrimonial;Sim;Física;;
308;Não;Na família;No trabalho;Não;;;;;;;60 anos ou mais;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);NS/NR;Norte;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Psicológica;;
309;Não;Na família;NS/NR;Não;;;;;;;60 anos ou mais;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);NS/NR;Norte;As vezes;Sim;Muito importante;Importante;Importante;Moral;Não;;;
