"ID";"P03";"P05";"P06";"P07";"P08";"P12";"P1301";"P1302";"P1303";"P1304";"P1305";"P1306";"P1307";"P1308";"P1309";"P14";"P15";"P16";"P19";"P20";"P21";"P22";"P231";"P232";"P233";"P234";"P235";"P236";"P237";"P238";"P24";"P251";"P252";"P253";"P254";"P255";"P256";"P257";"P258";"P2601";"P2602";"P2603";"P2604";"P2605";"P2606";"P2607";"P2608";"P2609";"P2610";"P2611";"P2612";"P2613";"P2614";"P2615";"P2701";"P2702";"P2703";"P2704";"P2705";"P2706";"P2707";"P2708";"P2709";"P2710";"P2711";"P2712";"P2713";"P2714";"P2715";"P2716";"P2717";"P2718";"P28";"P29";"P30";"P32";"P3101";"P3102";"P3103";"P3104";"P3105";"P3106";"P3107";"P3108";"P3109";"P3110";"P3111";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"REGIAO";"P09";"P10";"P11";"P17";"P18';"PropFM",,,
96;Minas Gerais;Não;Na rua;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;Yes;No;No;No;No;Sim;Não;Pouco;Sim;<b>Justiça</b>;Sim;Sim;No;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Aposentada / Pensionista</b>;Preta;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;66306,7368421053,
97;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;Yes;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;88613,555555556,
98;Minas Gerais;Às vezes;No trabalho;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Não;;Sim;Sim;Yes;Yes;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;34962,6532738095
99;São Paulo;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia comum</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;62771,4925373134,,
100;Minas Gerais;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;Sim;Não;Sim;Sim;<b>Deve</b>;29314,6071428571,
101;São Paulo;Não;Na rua;Muito machista;Continuou igual;Na minoria das vezes;No;No;No;No;No;Yes;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Doutorado COMPLETO</b>;<b>Não sei </b>;<b>Profissional Liberal (Autônoma)</b>;Branca;Sudeste;;;Não;Sim;<b>Deve</b>;17114,8,,
102;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Não;Muito;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>40 a 49 anos</b>;No;No;No;No;No;Yes;No;No;No;No;No;<b>60 anos ou mais</b>;<b>Viúva</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Não sei </b>;<b>Empregada doméstica</b>;Branca;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;11901,9166666667,,
103;São Paulo;Não;No trabalho;Pouco machista;Aumentou;Na minoria das vezes;No;No;Yes;No;No;Yes;No;No;No;Sim;Em parte;Muito;Não;;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Sim;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>30 a 39 anos</b>;No;No;No;No;No;No;No;No;No;Yes;No;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Preta;Sudeste;Sim;Não;Sim;Não;<b>Deve</b>;38375,7307692308
104;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;Yes;No;No;Sim;Sim;Muito;Não;;Sim;Não;Yes;Yes;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Casada</b>;Sim;<b>Pós-graduação COMPLETA</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Servidora Pública/Funcionária Pública</b>;Branca;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;69610,96875
105;São Paulo;Não;Na rua;Pouco machista;Continuou igual;Não denunciam;No;No;No;Yes;No;Yes;No;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Não sei </b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Empregada doméstica</b>;Branca;Sudeste;;;Sim;Sim;<b>Deve</b>;105332,52631579,
106;Minas Gerais;Às vezes;No trabalho;Pouco machista;Aumentou;Não denunciam;No;No;No;Yes;Yes;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Solteira</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;109377,845238095
107;São Paulo;Às vezes;No trabalho;Pouco machista;Aumentou;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;77150,5154798762,,
108;Minas Gerais;Às vezes;;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Em parte;Muito;Não;;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Sem renda</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;62433,833333333,,
109;São Paulo;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Sim;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sim;Sim;Não;<b>18 a 19 anos</b>;No;Yes;No;No;No;No;No;No;No;No;No;<b>De 30 a 39 anos</b>;<b>Divorciada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Desempregada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;87994,5957446808,
110;Bahia;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;32194,2598746081,
111;São Paulo;Não;Na rua;Pouco machista;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Sim;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>20 a 29 anos</b>;No;Yes;No;Yes;No;No;No;No;No;No;No;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Sem renda</b>;<b>Desempregada</b>;Branca;Sudeste;;;Sim;Não;<b>Deve</b>;100921,928571429,,
112;Bahia;Às vezes;Na rua;Muito machista;Continuou igual;Na minoria das vezes;No;Yes;No;Yes;No;Yes;No;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Branca;Nordeste;;;Sim;Não;<b>Deve</b>;13698,1107427056
113;São Paulo;Às vezes;Na rua;Pouco machista;Continuou igual;Na minoria das vezes;No;No;No;No;No;No;Yes;No;No;Sim;Não;Pouco;Não;;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;;;Sim;Não;<b>Deve</b>;29314,6071428571,,
114;Bahia;Às vezes;Na família;Pouco machista;Aumentou;Na minoria das vezes;Yes;Yes;No;No;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Viúva</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Desempregada</b>;Preta;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;41906,3205128205,
115;São Paulo;Não;;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Divorciada</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Aposentada / Pensionista</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;119924,289473684,
116;São Paulo;Não;Na família;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;105332,52631579,
117;Bahia;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;Yes;Yes;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Prefiro não responder </b>;<b>Funcionária de empresa privada</b>;Preta;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;1625,41666666667,,
118;Bahia;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;32194,2598746081,
119;São Paulo;Não;Na rua;Pouco machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Não;No;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;123254,42251462,
120;São Paulo;Não;Na família;Pouco machista;Aumentou;<b>Prefiro não responder (Não Ler)</b>;No;No;No;Yes;No;No;No;No;No;Sim;Sim;Nada;Sim;<b>Delegacia comum</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>União estável</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;100921,928571429,
121;Bahia;Sim;Na rua;Pouco machista;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Sim;Muito;Sim;;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Preta;Nordeste;;;Não;Sim;<b>Deve</b>;98999,5333333333,
122;São Paulo;Às vezes;No trabalho;Pouco machista;Aumentou;Na maioria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Divorciada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;69610,96875
123;Bahia;Às vezes;Na rua;Pouco machista;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Divorciada</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Estudante</b>;Parda;Nordeste;;;Não;Sim;<b>Deve</b>;32194,2598746081,,
124;São Paulo;Não;Na família;Muito machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;123254,42251462,,
125;São Paulo;Às vezes;Na rua;Pouco machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Não;;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Sim;Não;Não;<b>20 a 29 anos</b>;Yes;No;No;Yes;No;No;No;No;No;No;No;<b>De 20 a 29 anos</b>;<b>Separada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Servidora Pública/Funcionária Pública</b>;Parda;Sudeste;Não;Não;Sim;Não;<b>Deve</b>;62771,4925373134,
126;Rio Grande do Sul;Não;Na rua;Muito machista;Continuou igual;Na minoria das vezes;Yes;Yes;No;No;No;Yes;No;No;No;Sim;Não;Muito;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;No;No;No;No;No;Yes;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Não;<b>Superior INCOMPLETO (3º grau incompleto / graduação incompleta)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sul;;;Sim;Sim;<b>Deve</b>;52709,5964912281,
127;Bahia;Às vezes;Na rua;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Sim;Não;<b>20 a 29 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Preta;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;156222,666666667,,
128;Bahia;Às vezes;No trabalho;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Não;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Superior INCOMPLETO (3º grau incompleto / graduação incompleta)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Estudante</b>;Preta;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;32194,2598746081,
129;Bahia;Não;Na família;Muito machista;Aumentou;Na maioria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Não;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Divorciada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Não sei </b>;<b>Profissional Liberal (Autônoma)</b>;Preta;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;865,,,
130;São Paulo;Às vezes;Na família;Pouco machista;Continuou igual;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;;;Sim;Sim;<b>Deve</b>;59797,1922146027,
131;Bahia;Às vezes;Na rua;Muito machista;Continuou igual;Na minoria das vezes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Servidora Pública/Funcionária Pública</b>;Parda;Nordeste;;;Sim;<b>Não sei  (Não Ler)</b>;<b>Deve</b>;9574,78571428571
132;São Paulo;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;100921,928571429,
133;Bahia;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;No;No;Yes;No;Yes;No;No;No;Sim;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>20 a 29 anos</b>;No;No;No;Yes;No;No;No;No;No;No;No;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Preta;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;35555,6,
134;São Paulo;Não;Na rua;Muito machista;Continuou igual;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Amarela;Sudeste;;;Sim;Sim;<b>Deve</b>;62771,4925373134,
