"ID";"P04";"P05";"P06";"P08";"P10";"P11";"P12";"P15";"P16";"P17";"P19";"P071";"P072";"P073";"P074";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P03";"P32";"P33";"P34";"P35";"P36";"P37";"P02";"P13";"P14",
258;Não;NS/NR;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 30 a 39 anos;Ensino Superior;Mais de 10 S.M.;Profissional Liberal (Autônoma);Espírita;Branca;Santa Catarina                                           ;Sim;Deve,
259;Sim;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;-2;Não;Não;No;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 30 a 39 anos;Ensino Superior;NS/NR;Funcionária de empresa privada;Católica;Branca;Santa Catarina                                           ;Não;Deve,
260;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 30 a 39 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Sem religião/crença;Preta;Santa Catarina                                           ;Sim;Deve,
261;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Não;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 30 a 39 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Santa Catarina                                           ;Sim;Deve,
262;Às vezes;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Branca;Santa Catarina                                           ;Sim;Deve,
263;Às vezes;Na sociedade;Diminuiu;Não denunciam;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
264;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Não;-2;Sim;Não;No;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Sem religião/crença;Parda;São Paulo                                               ;Não;Deve,
265;Às vezes;Na família;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;Yes;No;No;Marido / companheiro;Não;;;Procurou ajuda dos amigos;;;;30 a 39 anos;Segunda vez;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Evangélica;Branca;São Paulo                                               ;Não;Não deve,
266;Não;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;NS/NR;Servidora Pública;Evangélica;Branca;São Paulo                                               ;Não;Deve,
267;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 10 S.M.;Servidora Pública;Católica;Branca;São Paulo                                               ;Sim;Deve,
268;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
269;Às vezes;Na família;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
270;Sim;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;São Paulo                                               ;Não;Deve,
271;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Marido / companheiro;Não;;;Denunciou em uma Delegacia da Mulher;;Bom;;20 a 29 anos;Primeira vez;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Espírita;Preta;São Paulo                                               ;Não;Deve,
272;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Sem religião/crença;Branca;São Paulo                                               ;Não;Deve,
273;Não;No trabalho;Continuou igual;Não denunciam;Não;Sim;Melhor;Sim;-2;Não;Não;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Católica;Branca;São Paulo                                               ;Sim;Deve,
274;Às vezes;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Sem religião/crença;Parda;São Paulo                                               ;Não;Deve,
275;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Superior;Até 2 S.M.;Servidora Pública;Católica;Branca;Sergipe                                                  ;Sim;Deve,
276;Não;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Superior;Até 2 S.M.;Dona de casa / Do lar;Católica;Parda;Sergipe                                                  ;Sim;Deve,
277;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Espírita;Parda;Sergipe                                                  ;Não;Deve,
278;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;NS/NR;-2;Não;Não;Yes;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;Sergipe                                                  ;Não;Deve,
279;Às vezes;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;Tio / Primo;Não;;;Procurou ajuda da família;;;;0 a 15 anos;Primeira vez;Norte;De 30 a 39 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Evangélica;Parda;Tocantins                                                ;Sim;Deve,
280;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 20 a 29 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;Acre                                                     ;Sim;Deve,
281;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 20 a 29 anos;Ensino Superior;Sem renda;Desempregada;Católica;Branca;Acre                                                     ;Não;Deve,
282;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Pai;Sim;Não;;Outra opção;;;;0 a 15 anos;Não procurei ajuda ;Norte;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Acre                                                     ;Sim;Deve,
283;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Parda;Alagoas                                                  ;Sim;Deve,
284;Às vezes;Na sociedade;Continuou igual;Na maioria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Evangélica;Amarela;Amazonas                                                 ;Sim;Deve,
285;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Branca;Bahia                                                    ;Sim;Não deve,
286;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;-2;Não;Não;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;NS/NR;NS/NR;Católica;Parda;Bahia                                                    ;Não;Deve,
287;Às vezes;Na família;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 5 a 10 S.M.;Funcionária de empresa privada;Evangélica;Branca;Bahia                                                    ;Sim;Deve,
288;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Evangélica;Parda;Bahia                                                    ;Sim;Deve,
289;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;-2;Não;Não;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Evangélica;Parda;Bahia                                                    ;Sim;Deve,
290;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Outra;Branca;Bahia                                                    ;Sim;Deve,
291;Não;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Ceará                                                   ;Sim;Deve,
292;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Sem renda;Estudante;Católica;Parda;Ceará                                                   ;Sim;Deve,
293;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Branca;Ceará                                                   ;Sim;Deve,
294;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Ceará                                                   ;Sim;Deve,
295;Não;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Ceará                                                   ;Sim;Deve,
296;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;Distrito Federal                                         ;Sim;Deve,
297;Não;Na sociedade;Aumentou;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Sem religião/crença;Amarela;Goiás                                                   ;Não;Deve,
298;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Desempregada;Católica;Parda;Maranhão                                                ;Sim;Deve,
299;Não;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Outro;-2;Não;;Denunciou em uma delegacia comum;;Péssimo;;20 a 29 anos;Segunda vez;Nordeste;De 20 a 29 anos;Ensino Superior;Mais de 10 S.M.;Profissional Liberal (Autônoma);Evangélica;Branca;Maranhão                                                ;Não;Deve,
300;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Mato Grosso                                              ;Não;Deve,
301;Sim;No trabalho;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Profissional Liberal (Autônoma);Católica;Parda;Mato Grosso                                              ;Sim;Deve,
302;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Servidora Pública;Católica;Parda;Mato Grosso do Sul                                       ;Sim;Deve,
303;Às vezes;Na família;Continuou igual;Não denunciam;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 20 a 29 anos;Ensino Superior;NS/NR;Funcionária de empresa privada;Católica;Parda;Mato Grosso do Sul                                       ;Sim;Deve,
304;Às vezes;No trabalho;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Evangélica;Branca;Minas Gerais                                             ;Sim;Deve,
305;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;NS/NR;Católica;Branca;Minas Gerais                                             ;Sim;Deve,
306;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Minas Gerais                                             ;Sim;Deve,
307;Às vezes;No trabalho;Diminuiu;Na minoria das vezes;Sim;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Minas Gerais                                             ;Sim;Deve,
308;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Preta;Minas Gerais                                             ;Sim;Deve,
309;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Sem religião/crença;Branca;Minas Gerais                                             ;Não;Deve,
310;Às vezes;No trabalho;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 20 a 29 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Parda;Minas Gerais                                             ;Sim;Deve,
