"ID";"P04";"P05";"P10";"P11";"P19";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P25";"P26";"P28";"P30";"P06";"P08";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P15";"P16";"P17";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P24";"P27";"P29";"P31";"P32";"P33";"Renda2";"P35";"P37";"P36";"P03";"P02";"P071";"P072";"P073";"P074";"P12";"P13";"P14";"P34"
243;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Parda;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 10 S.M.
244;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
245;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;50 a 59 anos;Ens. Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Parda;Católica;Centro-Oeste;Goiás;Não;Sim;Não;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
246;Sim;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Sim;Não;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Evangélica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
247;Às vezes;No trabalho;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Pai;Não;;Procurou ajuda da família;;0 a 15 anos;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;1ª vez;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Sem religião/crença;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
248;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
249;Não;Na família;NS/NR;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Amarela;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
250;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Centro-Oeste;Goiás;Não;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
251;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Sem religião/crença;Centro-Oeste;Goiás;Não;Sim;Não;Não;Melhor;Não;Sim;Até 2 S.M.
252;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;50 a 59 anos;Até Ens. Fund.;Sem renda;Empregada doméstica;Branca;Católica;Centro-Oeste;Goiás;Não;Sim;Não;Não;Melhor;Não;Sim;Sem renda
253;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Mais de 2 a 5 S.M.;Servidora Pública;Parda;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
254;Às vezes;Na família;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Denunciou em uma Delegacia da Mulher;Bom;30 a 39 anos;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;3ª vez ou +;40 a 49 anos;Ens. Superior;Até 2 S.M.;Servidora Pública;Parda;Sem religião/crença;Centro-Oeste;Goiás;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
255;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Mais de 5 S.M.;Funcionária de empresa privada;Parda;Evangélica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 5 a 10 S.M.
256;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Evangélica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
257;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Centro-Oeste;Goiás;Não;Sim;Não;Não;Igual;Não;Sim;Até 2 S.M.
258;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;NS/NR;Funcionária de empresa privada;Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Sim;Sim;NS/NR
259;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Parda;Evangélica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
260;Não;Na sociedade;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Ex-namorado/ex-marido/ex-companheiro;Não;;Denunciou em uma delegacia comum;Péssimo;0 a 15 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Não;Não;Não;Não;Não;Sim;Não;;;;3ª vez ou +;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Evangélica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Não;Não;Até 2 S.M.
261;Sim;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Branca;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
262;Sim;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Aposentada / Pensionista;Preta;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Igual;Não;Sim;Até 2 S.M.
263;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Sim;Não;Não;Sim;Não;Não;;;;;30 a 39 anos;Ens. Superior;Sem renda;Dona de casa / Do lar;Preta;Católica;Centro-Oeste;Goiás;Não;Sim;Sim;Não;Igual;Sim;Sim;Sem renda
264;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
265;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Parda;Evangélica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
266;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
267;Não;Na sociedade;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Marido / companheiro;Não;;Procurou a Igreja;;30 a 39 anos;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;1ª vez;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Outra;Centro-Oeste;Goiás;Sim;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
268;Sim;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;NS/NR;;;;;;;;;;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Católica;Centro-Oeste;Goiás;Não;Sim;Não;Não;Melhor;Não;Sim;Sem renda
269;Às vezes;Na família;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Não fez nada;;16 a 19 anos;Diminuiu;Não denunciam;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;NS/NR;;Sim;Não;Não;Não;Não;Sim;Não;Não;;Acreditar que seria a última vez;;Não procurou ajuda;50 a 59 anos;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal (Autônoma);Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
270;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
271;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;16 a 19 anos;Até Ens. Fund.;Até 2 S.M.;Estudante;Branca;Evangélica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
272;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Mais de 2 a 5 S.M.;Estudante;Branca;Espírita;Centro-Oeste;Goiás;Sim;Sim;Não;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
273;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Parda;Evangélica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Pior;Sim;Sim;Sem renda
274;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;50 a 59 anos;Até Ens. Fund.;Até 2 S.M.;Servidora Pública;Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Sim;Não;Igual;NS/NR;Sim;Até 2 S.M.
275;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Não;Sim;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Preta;Católica;Centro-Oeste;Goiás;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
276;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
277;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
278;Não;No trabalho;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Outro;;;Denunciou em uma delegacia comum;Péssimo;16 a 19 anos;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;;;1ª vez;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;Igual;Sim;Sim;Até 2 S.M.
279;Não;Na família;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Marido / companheiro;Não;;Outra opção <b>(Não ler)</b>;;20 a 29 anos;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;NS/NR;40 a 49 anos;Até Ens. Fund.;NS/NR;Empregada doméstica;Parda;Católica;Centro-Oeste;Goiás;Sim;Não;Não;Não;NS/NR;Não;Sim;NS/NR
280;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Parda;Católica;Centro-Oeste;Goiás;Sim;Sim;Não;Não;Igual;Não;Sim;Mais de 2 a 5 S.M.
281;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Branca;Evangélica;Nordeste;Maranhão;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
282;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Sim;Sim;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Maranhão;Sim;Não;Sim;Não;Igual;Não;Sim;Até 2 S.M.
283;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Sem religião/crença;Nordeste;Maranhão;Sim;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
284;Não;NS/NR;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Empregada doméstica;Preta;Católica;Nordeste;Maranhão;Não;Sim;Não;Não;Melhor;Sim;Não;Até 2 S.M.
285;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Maranhão;Não;Sim;Não;Não;Melhor;Não;Sim;Até 2 S.M.
286;Não;Na sociedade;Em parte;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Procurou ajuda dos amigos;;20 a 29 anos;Continua igual;Na maioria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;2ª vez;50 a 59 anos;Ens. Médio;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Branca;Católica;Nordeste;Maranhão;Não;Não;Sim;Não;Melhor;NS/NR;Sim;Mais de 2 a 5 S.M.
287;Não;Na família;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Sim;;Denunciou em uma delegacia comum;Regular;20 a 29 anos;Continua igual;Na minoria das vezes;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;;;3ª vez ou +;40 a 49 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Indígena;Católica;Nordeste;Maranhão;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
288;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Evangélica;Nordeste;Maranhão;Não;Não;Sim;Não;Melhor;Sim;Sim;Sem renda
289;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Desempregada;Parda;Sem religião/crença;Nordeste;Maranhão;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
290;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Maranhão;Sim;Não;Sim;Não;Igual;Não;Sim;Até 2 S.M.
291;Não;Na família;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Não fez nada;;30 a 39 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;Outra opção;;1ª vez;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Preta;Outra;Nordeste;Maranhão;Não;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
292;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Nordeste;Maranhão;Sim;Não;Não;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
293;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Sim;Não;Não;Não;;;;;60 ou mais;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Parda;Católica;Nordeste;Maranhão;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Mais de 5 a 10 S.M.
294;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Sim;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Até 2 S.M.;Servidora Pública;Parda;Católica;Nordeste;Maranhão;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
295;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Preta;Católica;Nordeste;Maranhão;Não;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
296;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Entidades ou Associações de proteção à mulher (ONGs);Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Parda;Evangélica;Nordeste;Maranhão;Sim;Sim;Não;Não;Melhor;Sim;Sim;Sem renda
297;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Superior;Até 2 S.M.;Servidora Pública;Parda;Católica;Nordeste;Maranhão;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
298;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;NS/NR;Não denunciam;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;NS/NR;;Não;;;;;;;;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Maranhão;Sim;Não;Não;Não;Melhor;Não;Sim;Mais de 10 S.M.
