"ID";"P01";"P02";"P03";"P04";"P07";"P08";"P12";"P13";"P15";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P27";"P061";"P062";"P063";"P064";"P065";"P066";"P111";"P112";"P113";"P114";"P141";"P142";"P143";"P144";"P145";"P146";"P171";"P172";"P173";"P174";"P175";"P176";"P1601";"P1602";"P1603";"P1604";"P1605";"P1606";"P1607";"P1608";"P1609";"P1610";"P261";"P262";"P263";"P264";"P265";"P266";"P267";"P268";"P28";"P29";"P30";"P31";"P32";"P33";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P051";"P052";"P053";"P054";"P055";"P056";"P057";"P058";"P10",,
220;Às vezes;No trabalho;Aumentou;Às vezes;Em parte;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 10 SM (Mais de R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;No;Yes;Sim,
221;Sim;Outros ambientes;Diminuiu;Não;Sim;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;;;;;;;;;;No;No;No;Yes;No;No;No;No;Sim,
222;Não;No trabalho;Aumentou;Às vezes;Não;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;60 anos ou +;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Aposentada;Católica;Região Sudeste;;;;;;;;;;No;No;No;Yes;No;No;No;No;Não,
223;Não;Na família;Aumentou;Às vezes;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;20 a 29 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
224;Às vezes;No trabalho;Continua igual;Sim;Não;Sim;Outras respostas;Não;Não;;;;;;;;;Não;No;No;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
225;Não;Na sociedade;Aumentou;Não;Em parte;Sim;Amigos;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;Yes;No;No;40 a 49 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Desempregada;Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
226;Não;Na família;Aumentou;Não;Em parte;Sim;Outras respostas;Sim;Sim;Marido;Não;;;Denunciou em delegacia comum;;Ótimo;20 a 29 anos;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Outras opções;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não,
227;Não;Na sociedade;Continua igual;Sim;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;NS/NR
228;Às vezes;No trabalho;Diminuiu;Não;Em parte;Não;Polícia / Delegacia;Sim;Sim;Pai;Não;;;Outra opção;;;0 a 16 anos;Não;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim,
229;Não;Na sociedade;Diminuiu;Não;Em parte;Sim;Amigos;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
230;Às vezes;No trabalho;Continua igual;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;Yes;No;No;No;No;Yes;No;30 a 39 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,
231;Às vezes;No trabalho;Diminuiu;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Profissional liberal (Autônoma);Espírita;Região Sudeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
232;Às vezes;Outros ambientes;Continua igual;Não;Sim;Sim;Delegacia da Mulher;Sim;Sim;Marido;Não;;;Procurou ajuda da família;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;50 a 59 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Espírita;Região Sudeste;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,
233;Sim;No trabalho;Diminuiu;Não;Sim;Sim;NS/NR;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Umbanda ou Candomblé;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Sim
234;Às vezes;No trabalho;Aumentou;Às vezes;Não;Não;NS/NR;Não;Sim;Marido;Sim;Não;;Não fez nada;Outra opção;;20 a 29 anos;Não;Yes;No;No;No;No;No;Yes;Yes;No;No;;;;;;;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Outras opções;Evangélica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não
235;Às vezes;Na família;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;16 a 19 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
236;Às vezes;Na sociedade;Aumentou;Às vezes;Não;Não;Outras respostas;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Estudante;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;No;Yes;Sim
237;Às vezes;No trabalho;Aumentou;Não;Em parte;Sim;NS/NR;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
238;Não;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
239;Às vezes;No trabalho;Continua igual;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Desempregada;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
240;Às vezes;Na sociedade;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 10 SM (Mais de R$ 4.150,00);Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não,
241;Não;Na sociedade;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Outras opções;Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
242;Não;Na família;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Sem religião - Ateu;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
243;Não;Na família;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
244;Às vezes;Na família;Continua igual;Não;Em parte;Sim;Polícia / Delegacia;Não;Sim;Pai;Sim;Não;;Não fez nada;NS/NR;;0 a 16 anos;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;20 a 29 anos;Ensino Superior;NS/NR;Funcionária de empresa privada;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,,
245;Não;Na família;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;60 anos ou +;Ensino Superior;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;NS/NR,
246;Às vezes;Na família;Aumentou;Às vezes;Sim;Sim;Polícia / Delegacia;Sim;Sim;Marido;Sim;Sim;Raramente (de vez em quando);Procurou ajuda da família;;;40 a 49 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
247;Não;No trabalho;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
248;Não;Na família;Continua igual;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;60 anos ou +;Ensino Superior;Até 1 salário mínimo (Até R$ 415,00);Profissional liberal (Autônoma);Espírita;Região Sudeste;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,
249;Sim;Na família;Aumentou;Não;Em parte;Sim;NS/NR;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;Yes;No;No;40 a 49 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
250;Não;Na sociedade;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim,
251;Às vezes;Na sociedade;Aumentou;Não;Não;Não;NS/NR;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não
252;Não;No trabalho;Aumentou;Não;Sim;Sim;NS/NR;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Sim
253;Não;No trabalho;Continua igual;Não;Não;Não;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
254;Não;No trabalho;Aumentou;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,
255;Não;Na sociedade;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Denunciou em Delegacia da Mulher (Ir para P24);;Ótimo;16 a 19 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,
256;Não;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;Yes;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
257;Não;Na família;Continua igual;Não;Não;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não
258;Às vezes;No trabalho;Aumentou;Às vezes;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
259;Não;Na família;Aumentou;Não;Sim;Sim;Família;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);NS/NR;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Sim,
260;Não;Na sociedade;Continua igual;Não;Não;Sim;Outras respostas;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
261;Não;Na sociedade;Continua igual;Não;Não;Não;Família;Sim;Não;;;;;;;;;NS/NR;Yes;No;No;No;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;No;Yes;Sim,
262;Não;Na sociedade;Aumentou;Não;Não;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Empregada doméstica;Evangélica;Região Sudeste;;;;;;;;;;No;Yes;No;No;No;No;No;No;Sim
263;Às vezes;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;50 a 59 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Do Lar (Dona de casa);Católica;Região Sudeste;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
264;Às vezes;Na sociedade;Diminuiu;Não;Em parte;Sim;Família;Sim;Sim;Marido;Não;;;Denunciou em Delegacia da Mulher (Ir para P24);;Ótimo;20 a 29 anos;Não;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
265;Não;Na família;Aumentou;Às vezes;Não;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;40 a 49 anos;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Evangélica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não,
266;Não;No trabalho;Aumentou;Às vezes;Não;Não;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Outras opções;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
267;Sim;Na família;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 10 SM (Mais de R$ 4.150,00);Aposentada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
268;Sim;Na família;Aumentou;Sim;Em parte;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
269;Às vezes;Na sociedade;Aumentou;Não;Sim;Sim;Família;Não;Não;;;;;;;;;Não;Yes;Yes;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Evangélica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim
270;Às vezes;No trabalho;Diminuiu;Às vezes;Em parte;Sim;Família;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Outras opções;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,
271;Sim;Na família;Continua igual;Às vezes;Em parte;Sim;Entidades/Associações de proteção à mulher;Não;Não;;;;;;;;;Sim;No;No;Yes;No;No;No;Yes;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;No;No;No;No;No;No;60 anos ou +;Ensino Médio;NS/NR;Do Lar (Dona de casa);Católica;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;NS/NR,,
272;Às vezes;Na sociedade;Aumentou;Não;Não;Não;Polícia / Delegacia;Sim;Sim;Namorado;Não;;;Denunciou em delegacia comum;;Bom;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Outras religiões;Região Sudeste;;;;;;;;;;;;;;;;;;Sim
273;Às vezes;Na sociedade;Continua igual;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;Yes;No;No;30 a 39 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Sim,
274;Não;Na família;Aumentou;Não;Em parte;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;Yes;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
