"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
178;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;ES;Sim;Denunciar                                                                 ;Sim;Sim     
179;Às vezes;No trabalho ;Em parte;Sim;NS/NR                   ;Física             ;Pai        ;Não  ;                            ;NS/NR                           ;       ;0 a 16 anos ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;ES;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
180;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;ES;Sim;Denunciar                                                                 ;Não;Não     
181;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;ES;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
182;Não     ;Na sociedade;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;20 a 29 anos;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;ES;Sim;Denunciar                                                                 ;Sim;Sim     
183;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;GO;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Não     
184;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;GO;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
185;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;GO;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
186;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;GO;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
187;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;GO;Não;Denunciar                                                                 ;Sim;Sim     
188;Não     ;No trabalho ;NS/NR   ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;GO;Não;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Sim     
189;Não     ;No trabalho ;Não     ;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Não  ;                            ;Não fez nada                    ;       ;20 a 29 anos;40 a 49 anos;Ensino Fundamental ;NS/NR                                      ;Profissional Liberal (Autônoma);GO;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
190;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);GO;Não;Estimular o debate social sobre o tema                                    ;Sim;Em parte
191;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;GO;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
192;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);GO;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
193;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;GO;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
194;Não     ;Na sociedade;Não     ;Sim;Uso do álcool           ;Psicológica        ;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Bom    ;30 a 39 anos;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Empregada Doméstica            ;GO;Sim;Outra opção                                                               ;Sim;Sim     
195;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;GO;Não;Denunciar                                                                 ;Não;Em parte
196;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;GO;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
197;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;GO;Não;Melhorar a assistência às vítimas                                         ;Sim;Não     
198;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;GO;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Não     
199;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;GO;Sim;Melhorar a assistência às vítimas                                         ;Não;Não     
200;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);GO;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
201;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;GO;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
202;Às vezes;Na família  ;Sim     ;Sim;Ciúmes                  ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Denunciou em Delegacia Comum    ;Ótimo  ;20 a 29 anos;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;GO;Sim;Denunciar                                                                 ;Sim;Sim     
203;Às vezes;Na família  ;NS/NR   ;Sim;Falta de dinheiro       ;Psicológica        ;Tio/Primo  ;Sim  ;Todos os dias               ;Denunciou em Delegacia da Mulher;Ruim   ;0 a 16 anos ;50 a 59 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);GO;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
204;Não     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;GO;Sim;Denunciar                                                                 ;Sim;Em parte
205;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;MA;Sim;Denunciar                                                                 ;Não;Sim     
206;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;MA;Sim;Denunciar                                                                 ;Não;Sim     
207;Às vezes;Na sociedade;Em parte;Sim;Ciúmes                  ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda da família       ;       ;20 a 29 anos;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;MA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
208;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MA;Sim;Denunciar                                                                 ;Sim;Sim     
209;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);MA;Sim;Denunciar                                                                 ;Sim;Em parte
210;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;MA;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
211;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Empregada Doméstica            ;MA;Sim;Denunciar                                                                 ;Não;Sim     
212;Sim     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;NS/NR                                      ;Empregada Doméstica            ;MA;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Não     
213;Sim     ;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Desempregada                   ;MA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
214;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;MA;Não;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
215;Às vezes;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Raramente (de vez em quando);Não fez nada                    ;       ;20 a 29 anos;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;MA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
216;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;MA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Não     
217;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;MA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
218;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;MA;Sim;Denunciar                                                                 ;Sim;Em parte
219;Às vezes;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Desempregada                   ;MA;Sim;Outra opção                                                               ;Não;Sim     
220;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;NS/NR                                      ;Empregada Doméstica            ;MA;Sim;Denunciar                                                                 ;Não;Sim     
221;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Servidora Pública              ;MA;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
222;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MG;Sim;Denunciar                                                                 ;Não;Em parte
223;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
224;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Do Lar ( Dona de casa)         ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
225;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;MG;Sim;Melhorar a assistência às vítimas                                         ;Não;Não     
226;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;MG;Não;NS/NR                                                                     ;Sim;Sim     
227;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Estudante                      ;MG;Sim;Melhorar a assistência às vítimas                                         ;Não;Não     
228;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 20 SM (acima de R$ 7.000)          ;Funcionária de empresa privada ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
229;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 20 SM (acima de R$ 7.000)          ;Profissional Liberal (Autônoma);MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
230;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Pós-Graduada       ;NS/NR                                      ;Funcionária de empresa privada ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
231;Não     ;Na sociedade;Não     ;Sim;Ciúmes                  ;Sexual             ;Marido     ;Sim  ;Não sofro mais violência    ;Procurou ajuda dos amigos       ;       ;30 a 39 anos;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Aposentada                     ;MG;Não;Denunciar                                                                 ;Não;Não     
232;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
233;Não     ;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
234;Não     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;MG;Sim;Outra opção                                                               ;Sim;Em parte
235;Não     ;Na sociedade;Não     ;Sim;Influência de familiares;Psicológica        ;NS/NR      ;Não  ;                            ;Não fez nada                    ;       ;16 a 19 anos;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;MG;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
236;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;MG;Sim;Denunciar                                                                 ;Não;Não     
237;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MG;Sim;Denunciar                                                                 ;Sim;Em parte
238;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;MG;Sim;Denunciar                                                                 ;Não;Sim     
239;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;MG;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
240;Às vezes;Outros      ;Não     ;Sim;Ciúmes                  ;Moral              ;Companheiro;Não  ;                            ;Denunciou em Delegacia Comum    ;Ruim   ;20 a 29 anos;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
241;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;MG;Sim;Denunciar                                                                 ;Não;Sim     
242;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;MG;Não;Melhorar a assistência às vítimas                                         ;Não;Sim     
243;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;MG;Sim;Denunciar                                                                 ;Sim;Sim     
244;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Profissional Liberal (Autônoma);MG;Sim;Denunciar                                                                 ;Sim;Sim     
245;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Não     
246;Sim     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
247;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 20 SM (acima de R$ 7.000)          ;Funcionária de empresa privada ;MG;Não;Melhorar a assistência às vítimas                                         ;Sim;Sim     
248;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Outras ocupações               ;MG;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
249;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MG;Não;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
250;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Psicológica        ;Marido     ;Sim  ;Todos os dias               ;Não fez nada                    ;       ;16 a 19 anos;30 a 39 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
251;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;MG;Sim;Denunciar                                                                 ;Sim;Não     
252;Às vezes;Na família  ;Em parte;Sim;Uso do álcool           ;Sexual             ;Pai        ;Não  ;                            ;Denunciou em Delegacia Comum    ;Regular;0 a 16 anos ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Em parte
253;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;MG;Sim;Estimular o debate social sobre o tema                                    ;Sim;Não     
254;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;MG;Sim;Denunciar                                                                 ;Sim;Em parte
255;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
256;Às vezes;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
257;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);MG;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
258;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;30 a 39 anos;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;MG;Sim;Outra opção                                                               ;Não;Sim     
259;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Empresária                     ;MG;Sim;Denunciar                                                                 ;Sim;Sim     
260;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Pós-Graduada       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;MG;Sim;Estimular o debate social sobre o tema                                    ;Sim;Não     
261;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;MG;Não;Melhorar a assistência às vítimas                                         ;Não;Sim     
262;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;MG;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
263;Não     ;Na sociedade;Não     ;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Bom    ;16 a 19 anos;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MG;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
264;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);MG;Não;Denunciar                                                                 ;Sim;NS/NR   
265;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Em parte
266;Às vezes;No trabalho ;Sim     ;Sim;Uso de drogas           ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Bom    ;30 a 39 anos;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;MG;Sim;Denunciar                                                                 ;Não;Sim     
267;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Pós-Graduada       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Empresária                     ;MG;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
268;Sim     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Outras ocupações               ;MS;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
269;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;NS/NR                                      ;Do Lar ( Dona de casa)         ;MS;Sim;Denunciar                                                                 ;Sim;Não     
