"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
312;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;No;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;São Paulo;40 a 49;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
313;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Não;;;;;;;;;;;;Sudeste;São Paulo;30 a 39;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
314;Sim;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;Yes;No;No;No;No;No;No;No;No;NS/NR ;;Sim;No;No;No;No;No;Yes;No;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Até 2 S.M.;Do Lar;Evangélica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
315;Não;Na família;Não;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim;;Outra opção;;30 a 39 anos;Aumentou;Não denunciam;No;No;No;No;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;Não;;;NS/NR;Sudeste;São Paulo;60 ou mais;Até Ens. Fund.;NS/NR;Do Lar;Católica;Preta;Melhor;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
316;Não;No trabalho;Em parte;Sim;Sim;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Denunciou em delegacia comum;Regular;20 a 29 anos;Continuou igual;Na minoria das vezes;No;No;No;No;No;No;Yes;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;Primeira vez;Sudeste;São Paulo;40 a 49;Ens. Médio;Até 2 S.M.;Do Lar;Outras religiões;Preta;Melhor;Sim;No;Yes;No;No;Sim;Pai;Enfraquece a lei;Diminui a proteção à mulher,
317;Sim;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;São Paulo;40 a 49;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
318;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Até 2 S.M.;NS/NR;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
319;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;NS/NR ;;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Sem renda;Profissional Liberal;Católica;Branca;Melhor;Sim;Yes;Yes;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
320;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Norte;Rondônia;50 a 59;Até Ens. Fund.;Mais de 2 a 5;Profissional Liberal;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
321;Às vezes;NS/NR ;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;;;;;Norte;Rondônia;30 a 39;Ens. Médio;NS/NR;Funcionária de empresa privada;Evangélica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
322;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;Yes;No;No;Yes;No;No;No;Não;;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Norte;Rondônia;20 a 29;Ens. Médio;Sem renda;Do Lar;Evangélica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
323;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Norte;Rondônia;30 a 39;Ens. Médio;Sem renda;Desempregada;Católica;Amarela;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
324;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Norte;Rondônia;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Evangélica;Parda;Igual;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
325;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Rondônia;30 a 39;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Evangélica;Amarela;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
326;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Rondônia;60 ou mais;Ens. Médio;Até 2 S.M.;Profissional Liberal;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
327;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Yes;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;Yes;No;No;;;;;Norte;Rondônia;40 a 49;Ens. Superior;Mais de 5 a 10;Servidora Pública;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
328;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Médio;Sem renda;Do Lar;Católica;Branca;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
329;Não;Na sociedade;Sim;Sim;Sim;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Denunciou em delegacia da Mulher;Bom;20 a 29 anos;Diminuiu;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;Yes;No;No;;;;Terceira vez ou mais;Sul;Rio Grande do Sul;40 a 49;Até Ens. Fund.;Até 2 S.M.;Desempregada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Fortalece a lei;Aumenta a proteção à mulher
330;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;60 ou mais;Até Ens. Fund.;NS/NR;Do Lar;Outras religiões;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
331;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na maioria das vezes;No;Yes;No;No;No;Yes;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;40 a 49;Ens. Superior;Mais de 5 a 10;Servidora Pública;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
332;Às vezes;Na família;Não;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Não;;Denunciou em delegacia da Mulher;Péssimo;30 a 39 anos;Aumentou;Na minoria das vezes;No;No;No;No;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Primeira vez;Sul;Rio Grande do Sul;50 a 59;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
333;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Entidades/Associações de proteção à mulher (ONG);Sim;No;No;No;No;No;Yes;No;;;;;Sul;Rio Grande do Sul;60 ou mais;Até Ens. Fund.;Mais de 2 a 5;Aposentada;Católica;Branca;Melhor;NS/NR ;No;No;Yes;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
334;Não;Na família;Em parte;Não;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Médio;Sem renda;Do Lar;Católica;Branca;;;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
335;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;16 a 19 anos;Ens. Médio;Sem renda;Desempregada;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
336;Às vezes;Na sociedade;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Não;;Outra opção;;NS/NR;Continuou igual;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;NS/NR ;;Não;;;;;;;;;;;Não procurei ajuda ;Norte;Rondônia;50 a 59;Ens. Médio;NS/NR;Do Lar;Católica;Branca;Melhor;Não;Yes;No;No;No;Não;Marido/companheiro;NS/NR;NS/NR,
337;Não;NS/NR ;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Entidades/Associações de proteção à mulher (ONG);Não;;;;;;;;;;;;Sul;Rio Grande do Sul;60 ou mais;Até Ens. Fund.;NS/NR;Do Lar;Católica;Parda;NS/NR ;Sim;Yes;No;No;No;Sim;;NS/NR;NS/NR,
338;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Médio;NS/NR;Do Lar;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Não;;Enfraquece a lei;Diminui a proteção à mulher,
339;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;40 a 49;Até Ens. Fund.;Sem renda;Do Lar;Católica;Preta;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
340;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;No;No;Yes;No;No;;;;;Nordeste;Ceará;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
341;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Ceará;50 a 59;Ens. Médio;NS/NR;Profissional Liberal;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
342;Às vezes;Na sociedade;NS/NR ;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Ceará;40 a 49;Ens. Médio;Mais de 2 a 5;Profissional Liberal;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
343;Não;NS/NR ;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Ceará;20 a 29;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Preta;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
344;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Nordeste;Ceará;20 a 29;Ens. Superior;Até 2 S.M.;Profissional Liberal;Outras religiões;Amarela;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
345;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;Yes;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Nordeste;Ceará;30 a 39;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Preta;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
346;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Nordeste;Ceará;20 a 29;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Branca;Igual;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
347;Não;Outro ambiente ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Nordeste;Ceará;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Igual;NS/NR ;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
348;Às vezes;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Não;;Procurou ajuda dos amigos;;20 a 29 anos;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;Yes;No;No;;;;Primeira vez;Nordeste;Ceará;20 a 29;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Igual;Não;Yes;No;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Enfraquece a lei;Diminui a proteção à mulher
349;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;No;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Norte;Rondônia;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Preta;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
350;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Ceará;20 a 29;Ens. Médio;NS/NR;Estudante;Católica;Indígena;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
351;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Nordeste;Ceará;40 a 49;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
352;Não;Na família;Em parte;Sim;Sim;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Sim;;Não fez nada;;30 a 39 anos;Aumentou;Não denunciam;No;Yes;No;No;No;No;No;No;No;Não;;Sim;No;No;Yes;No;No;No;No;Não;Preocupação com a criação dos filhos;;Não procurei ajuda ;Sul;Paraná;50 a 59;Até Ens. Fund.;Mais de 2 a 5;Profissional Liberal;Evangélica;Branca;Melhor;Sim;No;Yes;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
353;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Paraná;40 a 49;Até Ens. Fund.;Mais de 2 a 5;Do Lar;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
354;Não;Na família;Não;Sim;Sim;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;Sim;;Não fez nada;;20 a 29 anos;Continuou igual;Não denunciam;Yes;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;Não;7;;Não procurei ajuda ;Sul;Paraná;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;NS/NR ;Enfraquece a lei;Diminui a proteção à mulher,
355;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;NS/NR ;;Não;;;;;;;;;;;;Sul;Paraná;40 a 49;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
356;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;Yes;No;No;No;No;No;No;No;Não;;Sim;No;Yes;Yes;No;No;No;No;;;;;Sul;Paraná;40 a 49;Ens. Médio;Mais de 2 a 5;Do Lar;Católica;Branca;Igual;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
357;Às vezes;Na família;Não;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Denunciou em delegacia comum;Bom;30 a 39 anos;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Não procurei ajuda ;Sul;Paraná;50 a 59;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;Marido/companheiro;Fortalece a lei;Diminui a proteção à mulher,
358;Não;No trabalho;Não;Sim;Sim;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Não;;Denunciou em delegacia comum;Ruim;0 a 16 anos;Aumentou;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;Primeira vez;Sul;Paraná;30 a 39;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Parda;Igual;Não;No;No;Yes;No;Sim;Namorado;Enfraquece a lei;Diminui a proteção à mulher,
359;Não;Na família;Sim;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Não;;Não fez nada;;20 a 29 anos;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Sim;No;No;No;No;Yes;No;No;;Preocupação com a criação dos filhos;;Não procurei ajuda ;Sul;Paraná;50 a 59;Até Ens. Fund.;Até 2 S.M.;Do Lar;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Fortalece a lei;Aumenta a proteção à mulher
360;Às vezes;Na família;Em parte;Sim;Sim;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Sim;Raramente (de vez em quando);Outra opção;;30 a 39 anos;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;Sim;;;Não procurei ajuda ;Sul;Paraná;40 a 49;Ens. Médio;Sem renda;Do Lar;Evangélica;Parda;Melhor;Não;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
361;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;Yes;No;No;No;No;No;Não;;Não;;;;;;;;;;;;Sul;Paraná;60 ou mais;Ens. Médio;NS/NR;Do Lar;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
362;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Paraná;20 a 29;Ens. Médio;Sem renda;Do Lar;Católica;Amarela;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
363;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;Yes;No;No;Yes;No;No;No;No;No;NS/NR ;;Sim;Yes;Yes;Yes;No;Yes;No;No;;;;;Sul;Paraná;40 a 49;Ens. Médio;Até 2 S.M.;Profissional Liberal;NS/NR;Branca;Igual;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
364;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Norte;Acre;16 a 19 anos;Ens. Médio;Sem renda;Desempregada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;NS/NR,
365;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;Yes;No;Yes;No;No;No;No;Sim;Central de Atendimento à Mulher (número 180);Não;;;;;;;;;;;;Norte;Acre;30 a 39;Ens. Médio;Até 2 S.M.;Estudante;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
366;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Norte;Acre;20 a 29;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
367;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Acre;20 a 29;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;Parda;Pior;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
368;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Norte;Acre;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
369;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Não;;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Norte;Acre;40 a 49;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Parda;Pior;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
370;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Norte;Acre;30 a 39;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
